"#","Collection","Volume (7d)","Sales (7d)","Volume (All Time)","Sales (All Time)","Avg Price (7d)","Total Supply","Owners","Owners%","Estimated Market Cap","Added"
"1","CryptoPunks","3,446.93 ETH","51","1,073,349.52 ETH","22,024","67.59 ETH","9,998","3,660","36.61%","675,733.45 ETH","2021/04/30"
"2","Bored Ape YC","1,679.07 ETH","23","695,440.25 ETH","27,491","73.00 ETH","9,998","6,423","64.24%","729,886.08 ETH","2021/05/02"
"3","Mutant Ape Yacht Club","1,672.71 ETH","112","470,367.72 ETH","36,010","14.93 ETH","19,429","12,907","66.43%","290,170.52 ETH","2022/08/11"
"4","Otherdeed for Otherside","939.33 ETH","380","361,116.98 ETH","52,331","2.47 ETH","99,999","33,876","33.88%","247,190.23 ETH","2022/06/01"
"5","Azuki","869.82 ETH","64","270,224.37 ETH","28,089","13.59 ETH","10,000","5,030","50.30%","135,908.68 ETH","2022/08/29"
"6","CLONE X - X TAKASHI MURAKAMI","1,524.45 ETH","162","242,861.74 ETH","20,240","9.41 ETH","19,441","9,658","49.68%","182,942.91 ETH","2022/08/02"
"7","Moonbirds","221.35 ETH","25","175,557.37 ETH","9,974","8.85 ETH","10,000","6,582","65.82%","88,540.54 ETH","2022/06/01"
"8","Doodles","504.90 ETH","65","152,738.27 ETH","24,402","7.77 ETH","10,000","5,449","54.49%","77,676.22 ETH","2022/08/30"
"9","Meebits","126.27 ETH","37","130,299.11 ETH","23,755","3.41 ETH","19,999","6,456","32.28%","68,252.66 ETH","2021/05/04"
"10","Cool Cats NFT","100.95 ETH","49","115,106.51 ETH","31,077","2.06 ETH","9,955","5,689","57.15%","20,509.51 ETH","2022/08/30"
"11","Bored Ape Kennel Club","435.31 ETH","66","113,662.31 ETH","23,601","6.60 ETH","9,602","5,595","58.27%","63,330.47 ETH","2021/06/26"
"12","Loot (for Adventurers)","18.41 ETH","17","75,058.35 ETH","12,386","1.08 ETH","7,779","2,545","32.72%","8,424.95 ETH","2022/08/15"
"13","World of Women","87.16 ETH","41","73,717.26 ETH","25,293","2.13 ETH","10,000","5,595","55.95%","21,259.42 ETH","2022/07/21"
"14","CrypToadz by GREMPLIN","29.29 ETH","19","72,001.96 ETH","22,314","1.54 ETH","7,013","4,089","58.31%","10,812.08 ETH","2022/08/09"
"15","BEANZ Official","229.15 ETH","205","70,027.99 ETH","22,792","1.12 ETH","19,950","7,384","37.01%","22,300.22 ETH","2022/08/29"
"16","Pudgy Penguins","705.46 ETH","148","65,401.26 ETH","39,220","4.77 ETH","8,888","4,512","50.77%","42,365.92 ETH","2022/07/22"
"17","VeeFriends","104.12 ETH","17","58,964.89 ETH","5,145","6.12 ETH","10,255","5,173","50.44%","62,805.84 ETH","2022/08/29"
"18","goblintown.wtf","95.53 ETH","108","50,429.56 ETH","32,622","0.88 ETH","9,999","4,643","46.43%","8,844.28 ETH","2022/08/29"
"19","0N1 Force","18.25 ETH","38","49,950.07 ETH","23,656","0.48 ETH","7,775","4,208","54.12%","3,734.84 ETH","2022/07/15"
"20","MekaVerse","54.22 ETH","78","49,035.34 ETH","15,684","0.70 ETH","8,888","4,658","52.41%","6,178.67 ETH","2022/07/23"
